Price,Odometer_km,Doors,Accidents,Loc_city,Loc_rural,Loc_suburb,Car_Age,New_One,Best_Car,LogPrice,LogOdometer
1500.0,137830.0,0.6666666666666667,0.33333333333333337,1,0,0,1.0,0.0,0.0,7.31,11.83
4171.0,128548.0,0.6666666666666667,0.0,0,1,0,0.28,0.0,0.0,8.34,11.76
5331.0,107302.0,0.6666666666666667,0.0,0,0,1,0.36,0.0,0.0,8.58,11.58
1500.0,141838.0,0.6666666666666667,0.33333333333333337,0,0,1,0.96,0.0,0.0,7.31,11.86
1500.0,128548.0,0.3333333333333333,0.0,1,0,0,0.040000000000000036,0.9999999999999999,0.0,7.31,11.76
1500.0,211171.0,0.6666666666666667,0.0,0,0,0,0.8,0.0,0.0,7.31,12.26
1500.0,222235.0,0.6666666666666667,0.6666666666666667,0,1,0,0.76,0.0,0.0,7.31,12.31
1500.0,105068.0,1.0,0.33333333333333337,1,0,0,0.84,0.0,0.0,7.31,11.56
2291.0,90015.0,0.6666666666666667,0.0,0,1,0,0.64,0.0,0.0,7.74,11.41
1500.0,125976.0,0.0,0.0,1,0,0,0.84,0.0,0.0,7.31,11.74
1500.0,127701.0,0.6666666666666667,0.0,0,0,1,0.64,0.0,0.0,7.31,11.76
8974.375,75947.0,1.0,0.0,0,1,0,0.16000000000000003,0.0,0.0,9.1,11.24
3622.0,82771.0,0.6666666666666667,0.33333333333333337,1,0,0,0.52,0.0,0.0,8.2,11.32
2358.0,168796.0,1.0,0.0,0,1,0,0.040000000000000036,0.9999999999999999,0.0,7.77,12.04
1500.0,218508.0,0.3333333333333333,0.0,1,0,0,0.52,0.0,0.0,7.31,12.29
1500.0,106410.0,0.3333333333333333,0.0,1,0,0,0.72,0.0,0.0,7.31,11.58
8638.0,81122.0,0.6666666666666667,0.33333333333333337,1,0,0,0.16000000000000003,0.0,0.0,9.06,11.3
4469.0,128548.0,0.6666666666666667,0.33333333333333337,0,1,0,0.12,0.0,0.0,8.41,11.76
8974.375,60292.0,1.0,0.0,1,0,0,0.08000000000000002,0.9999999999999999,1.0,9.1,11.01
6260.0,128548.0,1.0,0.0,0,0,1,0.040000000000000036,0.9999999999999999,0.0,8.74,11.76
1500.0,145347.0,0.6666666666666667,0.0,1,0,0,1.0,0.0,0.0,7.31,11.89
1500.0,115119.0,0.6666666666666667,0.33333333333333337,0,0,1,0.48,0.0,0.0,7.31,11.65
1500.0,194075.0,0.6666666666666667,0.0,1,0,0,0.72,0.0,0.0,7.31,12.18
1500.0,129053.0,1.0,0.0,0,1,0,0.76,0.0,0.0,7.31,11.77
1500.0,148867.0,0.3333333333333333,0.6666666666666667,0,1,0,0.76,0.0,0.0,7.31,11.91
7028.0,111075.0,0.6666666666666667,0.0,0,1,0,0.12,0.9999999999999999,0.0,8.86,11.62
1500.0,271987.75,0.6666666666666667,0.6666666666666667,1,0,0,0.16000000000000003,0.0,0.0,7.31,12.51
3892.0,46659.0,0.6666666666666667,0.33333333333333337,1,0,0,0.8,0.0,0.0,8.27,10.75
1563.0,101785.0,0.6666666666666667,0.33333333333333337,0,0,1,0.5599999999999999,0.0,0.0,7.36,11.53
8974.375,128548.0,1.0,0.0,1,0,0,0.2,0.0,0.0,9.1,11.76
1500.0,271987.75,0.0,0.33333333333333337,0,0,1,0.84,0.0,0.0,7.31,12.51
1500.0,171019.0,0.3333333333333333,0.6666666666666667,1,0,0,0.32,0.0,0.0,7.31,12.05
1500.0,89054.0,0.3333333333333333,0.0,0,1,0,0.5599999999999999,0.0,0.0,7.31,11.4
1500.0,219487.0,0.6666666666666667,0.0,1,0,0,0.0,0.9999999999999999,0.0,7.31,12.3
6158.0,128548.0,0.6666666666666667,0.0,1,0,0,0.24,0.0,0.0,8.73,11.76
2402.0,36997.0,0.0,0.0,0,1,0,0.76,0.0,0.0,7.78,10.52
3444.0,103128.0,0.6666666666666667,0.6666666666666667,1,0,0,0.12,0.0,0.0,8.14,11.54
5423.0,141601.0,0.6666666666666667,0.33333333333333337,1,0,0,0.16000000000000003,0.0,0.0,8.6,11.86
1500.0,105936.0,0.6666666666666667,0.0,0,0,1,0.8,0.0,0.0,7.31,11.57
1500.0,255931.0,0.6666666666666667,0.0,0,0,1,0.48,0.0,0.0,7.31,12.45
1500.0,171323.0,0.6666666666666667,0.0,1,0,0,0.16000000000000003,0.0,0.0,7.31,12.05
1500.0,223877.0,0.6666666666666667,1.0,1,0,0,0.76,0.0,0.0,7.31,12.32
1500.0,203153.0,0.6666666666666667,0.0,0,0,1,0.76,0.0,0.0,7.31,12.22
8974.375,18853.0,0.6666666666666667,0.0,1,0,0,0.84,0.0,0.0,9.1,9.84
1500.0,97334.0,0.6666666666666667,0.0,0,0,1,1.0,0.0,0.0,7.31,11.49
8974.375,5000.0,0.3333333333333333,0.33333333333333337,0,0,1,0.48,0.0,0.0,9.1,8.52
1500.0,81216.0,1.0,0.6666666666666667,0,0,1,1.0,0.0,0.0,7.31,11.3
